
#################################################################
# Summary Statistics
#################################################################

DIC = 4991.904

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MO3_2019.Tillering.Tour_herb   0.855 0.146 0.479 0.546 0.785 0.916 0.964 0.988
p.MO3_2019.Flowering.Detritivore 0.058 0.053 0.003 0.005 0.018 0.040 0.083 0.166
p.MO3_2019.Flowering.Rice_herb   0.044 0.026 0.010 0.013 0.025 0.039 0.058 0.095
p.MO3_2019.Flowering.Tour_herb   0.898 0.061 0.752 0.779 0.863 0.912 0.945 0.974
p.MO3_2019.Ripening.Detritivore  0.112 0.082 0.008 0.013 0.044 0.092 0.165 0.272
p.MO3_2019.Ripening.Rice_herb    0.067 0.035 0.017 0.021 0.040 0.061 0.085 0.133
p.MO3_2019.Ripening.Tour_herb    0.822 0.086 0.630 0.665 0.766 0.833 0.889 0.940
p.OC_2017.Tillering.Detritivore  0.796 0.085 0.600 0.636 0.745 0.808 0.858 0.915
p.OC_2017.Tillering.Rice_herb    0.116 0.059 0.037 0.045 0.074 0.103 0.144 0.235
p.OC_2017.Tillering.Tour_herb    0.088 0.057 0.013 0.018 0.045 0.076 0.118 0.193
p.OC_2017.Flowering.Detritivore  0.243 0.093 0.077 0.098 0.180 0.237 0.304 0.405
p.OC_2017.Flowering.Rice_herb    0.699 0.100 0.506 0.536 0.631 0.701 0.770 0.860
p.OC_2017.Flowering.Tour_herb    0.057 0.041 0.009 0.012 0.027 0.047 0.078 0.136
p.OC_2017.Ripening.Detritivore   0.322 0.123 0.079 0.115 0.237 0.323 0.406 0.520
p.OC_2017.Ripening.Rice_herb     0.645 0.125 0.397 0.443 0.559 0.643 0.731 0.854
p.OC_2017.Ripening.Tour_herb     0.033 0.027 0.004 0.005 0.014 0.025 0.044 0.089
p.OO_2017.Tillering.Detritivore  0.771 0.085 0.592 0.628 0.715 0.773 0.833 0.904
p.OO_2017.Tillering.Rice_herb    0.106 0.048 0.035 0.042 0.069 0.098 0.134 0.196
p.OO_2017.Tillering.Tour_herb    0.123 0.070 0.018 0.027 0.068 0.112 0.166 0.252
p.OO_2017.Flowering.Detritivore  0.245 0.100 0.084 0.104 0.173 0.232 0.305 0.423
p.OO_2017.Flowering.Rice_herb    0.671 0.110 0.440 0.480 0.600 0.678 0.750 0.839
p.OO_2017.Flowering.Tour_herb    0.084 0.057 0.012 0.017 0.043 0.071 0.111 0.196
p.OO_2017.Ripening.Detritivore   0.322 0.113 0.121 0.151 0.244 0.318 0.393 0.515
