
#################################################################
# Summary Statistics
#################################################################

DIC = 5020.509

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MO3_2019.Flowering.Tour_herb   0.857 0.059 0.729 0.750 0.820 0.861 0.900 0.945
p.MO3_2019.Ripening.Detritivore  0.066 0.058 0.003 0.006 0.021 0.049 0.094 0.183
p.MO3_2019.Ripening.Rice_herb    0.092 0.044 0.026 0.031 0.059 0.086 0.118 0.174
p.MO3_2019.Ripening.Tour_herb    0.842 0.068 0.683 0.722 0.798 0.851 0.893 0.938
p.OC_2017.Tillering.Detritivore  0.705 0.125 0.457 0.497 0.615 0.707 0.798 0.904
p.OC_2017.Tillering.Rice_herb    0.221 0.109 0.042 0.058 0.135 0.216 0.296 0.407
p.OC_2017.Tillering.Tour_herb    0.073 0.051 0.010 0.014 0.037 0.062 0.098 0.172
p.OC_2017.Flowering.Detritivore  0.062 0.055 0.007 0.009 0.024 0.044 0.080 0.183
p.OC_2017.Flowering.Rice_herb    0.885 0.077 0.687 0.731 0.850 0.905 0.941 0.971
p.OC_2017.Flowering.Tour_herb    0.054 0.044 0.006 0.009 0.024 0.042 0.069 0.134
p.OC_2017.Ripening.Detritivore   0.033 0.050 0.001 0.002 0.006 0.016 0.038 0.133
p.OC_2017.Ripening.Rice_herb     0.932 0.065 0.743 0.803 0.915 0.953 0.974 0.989
p.OC_2017.Ripening.Tour_herb     0.034 0.033 0.003 0.005 0.013 0.025 0.044 0.098
p.OO_2017.Tillering.Detritivore  0.809 0.096 0.600 0.633 0.747 0.822 0.880 0.947
p.OO_2017.Tillering.Rice_herb    0.105 0.066 0.018 0.024 0.054 0.091 0.142 0.232
p.OO_2017.Tillering.Tour_herb    0.086 0.056 0.010 0.016 0.043 0.075 0.118 0.197
p.OO_2017.Flowering.Detritivore  0.130 0.103 0.015 0.021 0.053 0.099 0.179 0.337
p.OO_2017.Flowering.Rice_herb    0.759 0.128 0.463 0.515 0.680 0.779 0.858 0.929
p.OO_2017.Flowering.Tour_herb    0.112 0.074 0.015 0.022 0.056 0.096 0.153 0.258
p.OO_2017.Ripening.Detritivore   0.066 0.070 0.003 0.004 0.015 0.040 0.093 0.212
p.OO_2017.Ripening.Rice_herb     0.860 0.090 0.645 0.686 0.808 0.878 0.929 0.970
p.OO_2017.Ripening.Tour_herb     0.075 0.055 0.009 0.013 0.034 0.062 0.101 0.179
p.SC1_2018.Tillering.Detritivore 0.274 0.190 0.041 0.056 0.133 0.222 0.366 0.685
p.SC1_2018.Tillering.Rice_herb   0.439 0.155 0.102 0.149 0.340 0.453 0.549 0.670
p.SC1_2018.Tillering.Tour_herb   0.287 0.125 0.066 0.092 0.202 0.281 0.363 0.504
p.SC1_2018.Flowering.Detritivore 0.014 0.030 0.001 0.001 0.003 0.006 0.014 0.052
p.SC1_2018.Flowering.Rice_herb   0.883 0.080 0.670 0.729 0.854 0.905 0.936 0.966
p.SC1_2018.Flowering.Tour_herb   0.103 0.071 0.020 0.028 0.056 0.085 0.131 0.235
p.SC1_2019.Tillering.Detritivore 0.671 0.117 0.443 0.479 0.588 0.667 0.751 0.867
p.SC1_2019.Tillering.Rice_herb   0.229 0.093 0.057 0.077 0.163 0.229 0.293 0.386
p.SC1_2019.Tillering.Tour_herb   0.100 0.059 0.016 0.022 0.055 0.092 0.135 0.210
p.SC1_2019.Flowering.Detritivore 0.052 0.048 0.007 0.009 0.021 0.038 0.067 0.141
p.SC1_2019.Flowering.Rice_herb   0.882 0.071 0.703 0.745 0.852 0.899 0.931 0.963
p.SC1_2019.Flowering.Tour_herb   0.066 0.046 0.011 0.014 0.033 0.054 0.087 0.158
p.SC1_2019.Ripening.Detritivore  0.025 0.034 0.001 0.002 0.006 0.014 0.030 0.088
p.SC1_2019.Ripening.Rice_herb    0.933 0.051 0.798 0.838 0.914 0.947 0.967 0.985
p.SC1_2019.Ripening.Tour_herb    0.041 0.032 0.005 0.007 0.019 0.033 0.054 0.104
p.SO1_2018.Tillering.Detritivore 0.782 0.091 0.581 0.617 0.726 0.793 0.849 0.914
p.SO1_2018.Tillering.Rice_herb   0.162 0.077 0.046 0.055 0.104 0.150 0.208 0.303
p.SO1_2018.Tillering.Tour_herb   0.056 0.039 0.007 0.011 0.027 0.047 0.075 0.131
p.SO1_2018.Flowering.Detritivore 0.079 0.055 0.013 0.017 0.040 0.065 0.107 0.188
p.SO1_2018.Flowering.Rice_herb   0.869 0.069 0.707 0.739 0.829 0.882 0.922 0.958
p.SO1_2018.Flowering.Tour_herb   0.051 0.037 0.007 0.010 0.024 0.042 0.069 0.124
p.SO1_2019.Tillering.Detritivore 0.698 0.145 0.391 0.442 0.604 0.710 0.805 0.913
p.SO1_2019.Tillering.Rice_herb   0.202 0.116 0.036 0.047 0.111 0.185 0.270 0.409
p.SO1_2019.Tillering.Tour_herb   0.101 0.074 0.012 0.017 0.046 0.085 0.136 0.242
p.SO1_2019.Ripening.Detritivore  0.032 0.041 0.001 0.002 0.007 0.018 0.040 0.120
p.SO1_2019.Ripening.Rice_herb    0.917 0.066 0.747 0.789 0.892 0.936 0.962 0.984
p.SO1_2019.Ripening.Tour_herb    0.050 0.047 0.005 0.007 0.019 0.037 0.065 0.135
                                 97.5%
Epsilon.1                        0.186
Epsilon.2                        0.433
p.GC_2017.Tillering.Detritivore  0.685
p.GC_2017.Tillering.Rice_herb    0.356
p.GC_2017.Tillering.Tour_herb    0.417
p.GC_2017.Flowering.Detritivore  0.071
