"Source","d13C","d15N","Concd13C","Concd15N","Farm"
"Rice_herb",-21.5935222201151,5.31245690505241,51.9191989243901,9.4953344872969,"MO3_2018"
"Rice_herb",-13.2669102930828,2.60077331057094,54.1909041370791,10.0034756089652,"MO3_2018"
"Rice_herb",-11.4606398536529,6.08324686693104,50.2756344998854,11.0513586660403,"MO3_2018"
"Rice_herb",-13.5648104783017,5.66974388232386,67.1561311921811,15.6182474268533,"MO3_2018"
"Rice_herb",-29.7483842834049,6.56504722621776,55.7838935968034,6.78868378957299,"MO3_2018"
"Rice_herb",-29.0607299934036,4.80117658225217,54.9604639211259,8.69408672047794,"MC1_2018"
"Rice_herb",-28.4147789366534,3.97840558167041,62.4898338160706,13.8593439355485,"MC1_2018"
"Rice_herb",-30.0806688603208,6.29198435082178,54.2672679895009,9.58111664196553,"MC1_2018"
"Rice_herb",-12.2352353879716,3.62466158416048,50.7790960798379,10.8864681927831,"MC1_2018"
"Rice_herb",-17.5199573722869,5.15157490965361,52.4714244759947,10.5969790576836,"MC1_2018"
"Rice_herb",-30.0368356764278,4.71225387000631,52.9003190569536,9.16354095196906,"MC2_2018"
"Rice_herb",-29.187964749057,4.66739869060447,52.1400604800143,9.6817339210282,"MC2_2018"
"Rice_herb",-29.0542051836334,3.79844952903407,45.158412660996,8.6924069769815,"MC2_2018"
"Rice_herb",-28.2473906052827,2.90234894804046,51.9202234996959,10.3036767124541,"MC2_2018"
"Rice_herb",-27.4655082884654,3.36274812923955,34.7520828930425,6.23162418200878,"MC2_2018"
"Rice_herb",-29.3300496565486,7.11657709285338,57.2868610409713,7.24761390985022,"MC3_2018"
"Rice_herb",-28.9757902161039,5.86758217721875,52.108131618946,8.92414970545274,"MC3_2018"
"Rice_herb",-28.3498755716629,4.10344045571728,53.1588591380383,9.34872295562538,"MC3_2018"
"Rice_herb",-29.9860615269355,3.82209567574963,53.3598361735971,9.58651124007354,"MC3_2018"
"Rice_herb",-28.4181703318736,3.03524792204187,52.7214379193378,9.43757510030971,"MC3_2018"
"Rice_herb",-23.8449502311682,4.67291814107283,53.1832846246192,9.4454689132772,"LO1_2018"
"Rice_herb",-30.0388341804507,7.52880890906823,55.9688488069744,7.80973821170095,"LO1_2018"
"Rice_herb",-25.4526771471645,4.89942422984319,54.5269753827854,8.898152839807,"LO1_2018"
"Rice_herb",-29.5791590363829,7.32206209988332,56.2436997808487,8.15289939178489,"LO1_2018"
"Rice_herb",-26.7480858717865,5.22384536575661,51.6831123709533,10.0655363223784,"LO1_2018"
"Rice_herb",-25.841806266369,5.01344646956136,52.0615859546323,9.9121658021931,"LO1_2018"
"Rice_herb",-29.9504951596979,5.27820914107679,56.2130272505107,7.76606022692038,"LO2_2018"
"Rice_herb",-28.827687427563,3.92980848871664,51.9229142095801,10.5483266430891,"LO2_2018"
"Rice_herb",-29.7010969987055,3.39754794787668,53.0472226236982,9.86042479834542,"LO2_2018"
"Rice_herb",-30.255806225428,5.00105637507388,55.0555583270972,7.93010849524021,"LO2_2018"
"Rice_herb",-30.164639354826,5.42072922209297,55.7894613657303,8.1740387973894,"LO3_2018"
"Rice_herb",-28.8281537663817,4.43771852939693,52.5807597421456,9.52109203796595,"LO3_2018"
"Rice_herb",-28.3412719297186,4.36505653953097,51.1004269163114,10.4284387401176,"LO3_2018"
"Rice_herb",-28.8719166754842,4.97704067208402,54.864463287892,9.62530713587385,"LO3_2018"
"Rice_herb",-28.065014683188,2.50611388015979,52.588973966447,9.78928176228232,"LC1_2018"
"Rice_herb",-29.1848043134992,2.76450281514357,53.2583402557446,9.79247373862951,"LC1_2018"
"Rice_herb",-28.6323517685755,3.28646022158965,50.1413065501733,10.1679690368272,"LC1_2018"
"Rice_herb",-28.2573500491489,3.21185862860005,52.179183187778,10.1790429509385,"LC1_2018"
"Rice_herb",-28.6541315545184,4.63304521493485,52.4861632533419,9.92218531837092,"LC2_2018"
"Rice_herb",-29.484083687713,6.43529369624381,55.264288156731,8.40075721081138,"LC2_2018"
"Rice_herb",-28.2627821532676,4.89687450214213,54.1988049077581,9.72969055489454,"LC2_2018"
"Rice_herb",-29.8847963248936,5.25966378172132,48.7753760457695,10.132750106217,"LC3_2018"
"Rice_herb",-28.3381747173395,3.18546990675876,54.9774781535202,9.09612940419504,"LC3_2018"
"Rice_herb",-28.8239519607663,2.8761030632718,53.6707680845945,9.45847348745076,"LC3_2018"
