"Sample.ID","Family","d13C","C.amount_ug","d15N","N.amount_ug","Total.amount_mg","Farmtype","Landscape","Stage","Farm.ID","Date"
"20180629COCMC2","COC",-26.8688522737477,820.129959067102,7.60475102141005,115.692680812205,"1.472","Cv","Mount","Ripening","MC2","20180629"
"20180629PENMC2","PEN",-29.187964749057,481.252758230532,4.66739869060447,89.3624040910903,"0.923","Cv","Mount","Ripening","MC2","20180629"
"20180629DELMC2","DEL",-29.0542051836334,524.740755120773,3.79844952903407,101.005769072525,"1.162","Cv","Mount","Ripening","MC2","20180629"
"20180629CICMC2","CIC",-28.2473906052827,469.878022672248,2.90234894804046,93.2482742477093,"0.905","Cv","Mount","Ripening","MC2","20180629"
"20180629CICMC2","CIC",-27.4655082884654,435.791119478753,3.36274812923955,78.1445672423901,"1.254","Cv","Mount","Ripening","MC2","20180629"
"20180629SCIMC3","SCI",-27.1123122153752,437.855399551194,5.66478233494842,83.9142083983072,"1.084","Cv","Mount","Ripening","MC3","20180629"
"20180629SCIMC3","SCI",-26.6292849989679,526.813872932599,7.23370295159757,83.1351349685272,"0.992","Cv","Mount","Ripening","MC3","20180629"
"20180629PENMC3","PEN",-29.3300496565486,902.268061395298,7.11657709285338,114.149919080141,"1.575","Cv","Mount","Ripening","MC3","20180629"
"20180629DELMC3","DEL",-28.9757902161039,751.920339261391,5.86758217721875,128.775480249683,"1.443","Cv","Mount","Ripening","MC3","20180629"
"20180629ARAMC3","ARA",-26.0066691580842,405.882154729844,7.46734593340497,98.6805149934596,"0.864","Cv","Mount","Ripening","MC3","20180629"
"20180629CICMC3","CIC",-28.3498755716629,810.672601855084,4.10344045571728,142.568025073287,"1.525","Cv","Mount","Ripening","MC3","20180629"
"20180629CICMC3","CIC",-29.9860615269355,531.997566650763,3.82209567574963,95.5775170635332,"0.997","Cv","Mount","Ripening","MC3","20180629"
"20180629CICMC3","CIC",-28.4181703318736,770.787422380719,3.03524792204187,137.977347966528,"1.462","Cv","Mount","Ripening","MC3","20180629"
"20180629ARALO1","ARA",-24.3529795949732,584.944616365812,6.71367491602002,130.311024267614,"1.193","Or","Land","Ripening","LO1","20180629"
"20180629CICLO1","CIC",-23.8449502311682,629.690089955491,4.67291814107283,111.834351933202,"1.184","Or","Land","Ripening","LO1","20180629"
"20180629COCLO1","COC",-19.5280131583831,938.169681309345,7.00810357025574,107.198089263493,"1.583","Or","Land","Ripening","LO1","20180629"
"20180629PENLO1","PEN",-30.0388341804507,668.268054755274,7.52880890906823,93.2482742477093,"1.194","Or","Land","Ripening","LO1","20180629"
"20180629CICLO1","CIC",-25.4526771471645,604.70415699509,4.89942422984319,98.6805149934596,"1.109","Or","Land","Ripening","LO1","20180629"
"20180629PENLO1","PEN",-29.5791590363829,605.744646639741,7.32206209988332,87.8067264495233,"1.077","Or","Land","Ripening","LO1","20180629"
"20180629PYRLO1","PYR",-29.8178763222533,477.115771403912,0.627410003254498,115.692680812205,"0.972","Or","Land","Ripening","LO1","20180629"
"20180629CICLO1","CIC",-26.7480858717865,716.327937461412,5.22384536575661,139.508333428164,"1.386","Or","Land","Ripening","LO1","20180629"
"20180629CICLO1","CIC",-25.841806266369,724.697276488482,5.01344646956136,137.977347966528,"1.392","Or","Land","Ripening","LO1","20180629"
"20180629DELLO2","DEL",-29.9504951596979,541.331452422418,5.27820914107679,74.7871599852432,"0.963","Or","Land","Ripening","LO2","20180629"
"20180629COCLO2","COC",-29.1419418851877,901.213030586426,6.72767961692312,95.5775170635332,"1.488","Or","Land","Ripening","LO2","20180629"
"20180629COCLO2","COC",-27.4375690649824,801.219406601729,6.56659852431102,104.103448686774,"1.387","Or","Land","Ripening","LO2","20180629"
"20180629CICLO2","CIC",-28.827687427563,664.09407274053,3.92980848871664,134.91309776511,"1.279","Or","Land","Ripening","LO2","20180629"
"20180629ARALO2","ARA",-28.5887797437011,672.442858885309,7.46674131654042,116.463776768469,"1.298","Or","Land","Ripening","LO2","20180629"
"20180629CICLO2","CIC",-29.7010969987055,729.929783302087,3.39754794787668,135.679445225233,"1.376","Or","Land","Ripening","LO2","20180629"
"20180629DELLO2","DEL",-30.255806225428,717.373925002076,5.00105637507388,103.32931369298,"1.303","Or","Land","Ripening","LO2","20180629"
"20180629DELLO3","DEL",-30.164639354826,521.631463769578,5.42072922209297,76.4272627555909,"0.935","Or","Land","Ripening","LO3","20180629"
"20180629COCLO3","COC",-29.8429967715209,505.056386658475,6.13363765816424,58.2615424732286,"0.858","Or","Land","Ripening","LO3","20180629"
"20180629CICLO3","CIC",-28.8281537663817,562.088321643536,4.43771852939693,101.780473885856,"1.069","Or","Land","Ripening","LO3","20180629"
"20180629CICLO3","CIC",-28.3412719297186,563.126704617752,4.36505653953097,114.921394916096,"1.102","Or","Land","Ripening","LO3","20180629"
