
#################################################################
# Summary Statistics
#################################################################

DIC = 4766.101

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.MO3_2018.Flowering.Rice_herb   0.806 0.209 0.209 0.364 0.715 0.885 0.963
p.MO3_2018.Flowering.Tour_herb   0.096 0.164 0.000 0.001 0.006 0.025 0.106
p.MO3_2019.Tillering.Detritivore 0.126 0.172 0.000 0.001 0.010 0.049 0.176
p.MO3_2019.Tillering.Rice_herb   0.781 0.236 0.130 0.269 0.669 0.871 0.965
p.MO3_2019.Tillering.Tour_herb   0.092 0.179 0.000 0.000 0.004 0.018 0.084
p.MO3_2019.Flowering.Detritivore 0.085 0.109 0.000 0.001 0.011 0.042 0.117
p.MO3_2019.Flowering.Rice_herb   0.826 0.185 0.271 0.454 0.762 0.886 0.960
p.MO3_2019.Flowering.Tour_herb   0.088 0.156 0.000 0.001 0.006 0.024 0.096
p.MO3_2019.Ripening.Detritivore  0.024 0.037 0.000 0.000 0.003 0.010 0.030
p.MO3_2019.Ripening.Rice_herb    0.926 0.157 0.258 0.752 0.931 0.973 0.991
p.MO3_2019.Ripening.Tour_herb    0.050 0.151 0.000 0.000 0.002 0.007 0.027
p.OC_2017.Flowering.Detritivore  0.068 0.091 0.001 0.001 0.009 0.032 0.093
p.OC_2017.Flowering.Rice_herb    0.863 0.160 0.407 0.550 0.813 0.919 0.971
p.OC_2017.Flowering.Tour_herb    0.069 0.133 0.000 0.000 0.005 0.019 0.068
p.OC_2017.Ripening.Detritivore   0.022 0.039 0.000 0.000 0.002 0.007 0.023
p.OC_2017.Ripening.Rice_herb     0.940 0.138 0.565 0.784 0.947 0.980 0.993
p.OC_2017.Ripening.Tour_herb     0.039 0.131 0.000 0.000 0.001 0.005 0.020
p.OO_2017.Ripening.Detritivore   0.023 0.044 0.000 0.000 0.002 0.007 0.024
p.OO_2017.Ripening.Rice_herb     0.938 0.143 0.521 0.768 0.946 0.981 0.994
p.OO_2017.Ripening.Tour_herb     0.039 0.134 0.000 0.000 0.001 0.005 0.018
p.SC1_2018.Tillering.Detritivore 0.131 0.170 0.000 0.001 0.010 0.052 0.195
