
#################################################################
# Summary Statistics
#################################################################

DIC = 5020.509

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.MO1_2018.Tillering.Detritivore 0.652 0.306 0.086 0.123 0.366 0.754 0.943
p.MO1_2018.Tillering.Rice_herb   0.167 0.194 0.004 0.005 0.015 0.072 0.278
p.MO1_2018.Tillering.Tour_herb   0.181 0.185 0.006 0.010 0.037 0.109 0.278
p.MO1_2018.Flowering.Detritivore 0.227 0.246 0.001 0.002 0.010 0.074 0.460
p.MO1_2018.Flowering.Rice_herb   0.607 0.260 0.188 0.218 0.368 0.610 0.862
p.MO1_2018.Flowering.Tour_herb   0.166 0.126 0.016 0.023 0.073 0.138 0.222
p.MO1_2018.Ripening.Detritivore  0.125 0.175 0.000 0.001 0.005 0.033 0.182
p.MO1_2018.Ripening.Rice_herb    0.746 0.200 0.272 0.352 0.622 0.787 0.917
p.MO1_2018.Ripening.Tour_herb    0.129 0.106 0.009 0.015 0.051 0.103 0.179
p.MO1_2019.Tillering.Detritivore 0.660 0.169 0.236 0.347 0.567 0.685 0.782
p.MO1_2019.Tillering.Rice_herb   0.217 0.114 0.055 0.071 0.136 0.199 0.276
p.MO1_2019.Tillering.Tour_herb   0.123 0.085 0.014 0.021 0.061 0.107 0.169
p.MO1_2019.Flowering.Detritivore 0.057 0.052 0.004 0.006 0.021 0.042 0.076
p.MO1_2019.Flowering.Rice_herb   0.865 0.066 0.711 0.739 0.829 0.875 0.913
p.MO1_2019.Flowering.Tour_herb   0.078 0.046 0.014 0.019 0.044 0.071 0.104
p.MO1_2019.Ripening.Detritivore  0.029 0.037 0.001 0.001 0.006 0.014 0.035
p.MO1_2019.Ripening.Rice_herb    0.923 0.047 0.800 0.834 0.899 0.935 0.957
p.MO1_2019.Ripening.Tour_herb    0.048 0.031 0.007 0.010 0.026 0.042 0.064
p.MO2_2018.Tillering.Detritivore 0.204 0.115 0.032 0.047 0.115 0.190 0.279
p.MO2_2018.Tillering.Rice_herb   0.147 0.078 0.030 0.041 0.089 0.135 0.193
p.MO2_2018.Tillering.Tour_herb   0.649 0.119 0.424 0.457 0.566 0.649 0.733
p.MO2_2018.Flowering.Detritivore 0.016 0.018 0.001 0.001 0.005 0.010 0.020
p.MO2_2018.Flowering.Rice_herb   0.558 0.156 0.203 0.264 0.462 0.576 0.671
p.MO2_2018.Flowering.Tour_herb   0.427 0.153 0.182 0.213 0.316 0.409 0.518
p.MO2_2019.Tillering.Detritivore 0.808 0.081 0.629 0.661 0.757 0.814 0.869
p.MO2_2019.Tillering.Rice_herb   0.139 0.064 0.040 0.050 0.091 0.132 0.178
p.MO2_2019.Tillering.Tour_herb   0.053 0.038 0.006 0.010 0.025 0.044 0.072
p.MO2_2019.Flowering.Detritivore 0.092 0.062 0.014 0.020 0.047 0.078 0.126
p.MO2_2019.Flowering.Rice_herb   0.854 0.072 0.687 0.714 0.814 0.866 0.908
p.MO2_2019.Flowering.Tour_herb   0.053 0.037 0.009 0.011 0.027 0.044 0.069
p.MO3_2018.Tillering.Detritivore 0.509 0.189 0.152 0.202 0.371 0.506 0.644
p.MO3_2018.Tillering.Rice_herb   0.165 0.107 0.019 0.028 0.082 0.147 0.227
p.MO3_2018.Tillering.Tour_herb   0.327 0.153 0.052 0.084 0.221 0.316 0.423
p.MO3_2019.Tillering.Detritivore 0.498 0.186 0.048 0.103 0.398 0.531 0.635
p.MO3_2019.Tillering.Rice_herb   0.005 0.003 0.001 0.001 0.002 0.004 0.006
p.MO3_2019.Tillering.Tour_herb   0.497 0.186 0.218 0.247 0.361 0.464 0.598
p.MO3_2019.Flowering.Detritivore 0.089 0.052 0.009 0.016 0.050 0.081 0.121
p.MO3_2019.Flowering.Rice_herb   0.054 0.030 0.014 0.017 0.032 0.048 0.070
p.MO3_2019.Flowering.Tour_herb   0.857 0.059 0.729 0.750 0.820 0.861 0.900
p.MO3_2019.Ripening.Detritivore  0.066 0.058 0.003 0.006 0.021 0.049 0.094
p.MO3_2019.Ripening.Rice_herb    0.092 0.044 0.026 0.031 0.059 0.086 0.118
p.MO3_2019.Ripening.Tour_herb    0.842 0.068 0.683 0.722 0.798 0.851 0.893
p.OC_2017.Tillering.Detritivore  0.705 0.125 0.457 0.497 0.615 0.707 0.798
p.OC_2017.Tillering.Rice_herb    0.221 0.109 0.042 0.058 0.135 0.216 0.296
p.OC_2017.Tillering.Tour_herb    0.073 0.051 0.010 0.014 0.037 0.062 0.098
p.OC_2017.Flowering.Detritivore  0.062 0.055 0.007 0.009 0.024 0.044 0.080
p.OC_2017.Flowering.Rice_herb    0.885 0.077 0.687 0.731 0.850 0.905 0.941
p.OC_2017.Flowering.Tour_herb    0.054 0.044 0.006 0.009 0.024 0.042 0.069
p.OC_2017.Ripening.Detritivore   0.033 0.050 0.001 0.002 0.006 0.016 0.038
p.OC_2017.Ripening.Rice_herb     0.932 0.065 0.743 0.803 0.915 0.953 0.974
p.OC_2017.Ripening.Tour_herb     0.034 0.033 0.003 0.005 0.013 0.025 0.044
p.OO_2017.Tillering.Detritivore  0.809 0.096 0.600 0.633 0.747 0.822 0.880
p.OO_2017.Tillering.Rice_herb    0.105 0.066 0.018 0.024 0.054 0.091 0.142
p.OO_2017.Tillering.Tour_herb    0.086 0.056 0.010 0.016 0.043 0.075 0.118
p.OO_2017.Flowering.Detritivore  0.130 0.103 0.015 0.021 0.053 0.099 0.179
p.OO_2017.Flowering.Rice_herb    0.759 0.128 0.463 0.515 0.680 0.779 0.858
p.OO_2017.Flowering.Tour_herb    0.112 0.074 0.015 0.022 0.056 0.096 0.153
p.OO_2017.Ripening.Detritivore   0.066 0.070 0.003 0.004 0.015 0.040 0.093
p.OO_2017.Ripening.Rice_herb     0.860 0.090 0.645 0.686 0.808 0.878 0.929
p.OO_2017.Ripening.Tour_herb     0.075 0.055 0.009 0.013 0.034 0.062 0.101
p.SC1_2018.Tillering.Detritivore 0.274 0.190 0.041 0.056 0.133 0.222 0.366
p.SC1_2018.Tillering.Rice_herb   0.439 0.155 0.102 0.149 0.340 0.453 0.549
p.SC1_2018.Tillering.Tour_herb   0.287 0.125 0.066 0.092 0.202 0.281 0.363
p.SC1_2018.Flowering.Detritivore 0.014 0.030 0.001 0.001 0.003 0.006 0.014
p.SC1_2018.Flowering.Rice_herb   0.883 0.080 0.670 0.729 0.854 0.905 0.936
p.SC1_2018.Flowering.Tour_herb   0.103 0.071 0.020 0.028 0.056 0.085 0.131
p.SC1_2019.Tillering.Detritivore 0.671 0.117 0.443 0.479 0.588 0.667 0.751
p.SC1_2019.Tillering.Rice_herb   0.229 0.093 0.057 0.077 0.163 0.229 0.293
p.SC1_2019.Tillering.Tour_herb   0.100 0.059 0.016 0.022 0.055 0.092 0.135
