
#################################################################
# Summary Statistics
#################################################################

DIC = 5670.209

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.MO3_2019.Flowering.Detritivore 0.072 0.048 0.006 0.010 0.036 0.063 0.098
p.MO3_2019.Flowering.Rice_herb   0.072 0.044 0.015 0.018 0.040 0.062 0.095
p.MO3_2019.Flowering.Tour_herb   0.856 0.067 0.710 0.734 0.814 0.864 0.905
p.MO3_2019.Ripening.Detritivore  0.038 0.036 0.002 0.003 0.013 0.028 0.052
p.MO3_2019.Ripening.Rice_herb    0.146 0.063 0.043 0.054 0.098 0.139 0.186
p.MO3_2019.Ripening.Tour_herb    0.816 0.069 0.669 0.699 0.770 0.820 0.867
p.OC_2017.Tillering.Detritivore  0.685 0.146 0.370 0.435 0.590 0.694 0.796
p.OC_2017.Tillering.Rice_herb    0.219 0.115 0.043 0.057 0.129 0.208 0.294
p.OC_2017.Tillering.Tour_herb    0.095 0.087 0.007 0.010 0.035 0.071 0.130
p.OC_2017.Flowering.Detritivore  0.063 0.056 0.008 0.010 0.025 0.046 0.082
p.OC_2017.Flowering.Rice_herb    0.862 0.089 0.636 0.689 0.814 0.881 0.930
p.OC_2017.Flowering.Tour_herb    0.075 0.068 0.006 0.008 0.026 0.054 0.104
p.OC_2017.Ripening.Detritivore   0.020 0.029 0.001 0.001 0.004 0.010 0.023
p.OC_2017.Ripening.Rice_herb     0.943 0.049 0.809 0.845 0.924 0.956 0.977
p.OC_2017.Ripening.Tour_herb     0.037 0.038 0.002 0.004 0.012 0.025 0.049
p.OO_2017.Tillering.Detritivore  0.781 0.120 0.522 0.571 0.706 0.795 0.872
p.OO_2017.Tillering.Rice_herb    0.133 0.083 0.018 0.027 0.070 0.119 0.182
p.OO_2017.Tillering.Tour_herb    0.086 0.078 0.006 0.009 0.030 0.063 0.117
p.OO_2017.Flowering.Detritivore  0.114 0.100 0.014 0.019 0.044 0.083 0.148
p.OO_2017.Flowering.Rice_herb    0.784 0.134 0.460 0.514 0.712 0.812 0.886
p.OO_2017.Flowering.Tour_herb    0.103 0.087 0.008 0.012 0.037 0.077 0.144
p.OO_2017.Ripening.Detritivore   0.036 0.043 0.002 0.002 0.009 0.020 0.046
p.OO_2017.Ripening.Rice_herb     0.911 0.067 0.747 0.777 0.877 0.929 0.961
p.OO_2017.Ripening.Tour_herb     0.053 0.048 0.004 0.006 0.019 0.039 0.073
p.SC1_2018.Tillering.Detritivore 0.424 0.198 0.094 0.127 0.272 0.404 0.564
p.SC1_2018.Tillering.Rice_herb   0.385 0.162 0.091 0.127 0.268 0.384 0.499
p.SC1_2018.Tillering.Tour_herb   0.191 0.129 0.013 0.021 0.088 0.170 0.270
p.SC1_2018.Flowering.Detritivore 0.025 0.037 0.002 0.002 0.007 0.014 0.028
p.SC1_2018.Flowering.Rice_herb   0.884 0.088 0.651 0.712 0.843 0.907 0.948
