
#################################################################
# Summary Statistics
#################################################################

DIC = 5681.071

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MC1_2019.Flowering.Rice_herb   0.899 0.062 0.750 0.781 0.865 0.914 0.946 0.973
p.MC1_2019.Flowering.Tour_herb   0.058 0.054 0.003 0.005 0.020 0.041 0.081 0.166
p.MC1_2019.Ripening.Detritivore  0.043 0.037 0.003 0.005 0.017 0.033 0.058 0.119
p.MC1_2019.Ripening.Rice_herb    0.927 0.049 0.803 0.831 0.904 0.939 0.963 0.983
p.MC1_2019.Ripening.Tour_herb    0.030 0.032 0.002 0.003 0.009 0.020 0.038 0.089
p.MC2_2018.Tillering.Detritivore 0.196 0.149 0.029 0.039 0.095 0.157 0.248 0.508
p.MC2_2018.Tillering.Rice_herb   0.638 0.175 0.200 0.294 0.542 0.670 0.763 0.877
p.MC2_2018.Tillering.Tour_herb   0.165 0.133 0.014 0.022 0.067 0.132 0.224 0.429
p.MC2_2018.Flowering.Detritivore 0.020 0.029 0.001 0.002 0.006 0.011 0.021 0.064
p.MC2_2018.Flowering.Rice_herb   0.939 0.062 0.761 0.818 0.926 0.959 0.977 0.990
p.MC2_2018.Flowering.Tour_herb   0.041 0.052 0.002 0.003 0.011 0.024 0.051 0.138
p.MC2_2018.Ripening.Detritivore  0.020 0.028 0.001 0.002 0.005 0.011 0.022 0.065
p.MC2_2018.Ripening.Rice_herb    0.960 0.044 0.833 0.885 0.952 0.973 0.985 0.994
p.MC2_2018.Ripening.Tour_herb    0.021 0.030 0.001 0.001 0.005 0.011 0.025 0.066
p.MC2_2019.Tillering.Detritivore 0.478 0.136 0.187 0.239 0.393 0.486 0.569 0.692
p.MC2_2019.Tillering.Rice_herb   0.392 0.117 0.190 0.217 0.311 0.382 0.460 0.599
p.MC2_2019.Tillering.Tour_herb   0.130 0.101 0.013 0.019 0.057 0.104 0.175 0.325
p.MC2_2019.Flowering.Detritivore 0.061 0.032 0.014 0.018 0.037 0.055 0.079 0.123
p.MC2_2019.Flowering.Rice_herb   0.900 0.043 0.799 0.821 0.874 0.906 0.932 0.960
p.MC2_2019.Flowering.Tour_herb   0.039 0.032 0.004 0.005 0.016 0.031 0.053 0.104
p.MC3_2018.Tillering.Detritivore 0.461 0.179 0.124 0.171 0.338 0.451 0.576 0.780
p.MC3_2018.Tillering.Rice_herb   0.211 0.119 0.042 0.054 0.120 0.192 0.283 0.434
p.MC3_2018.Tillering.Tour_herb   0.328 0.163 0.042 0.072 0.210 0.323 0.432 0.612
p.MC3_2018.Flowering.Detritivore 0.108 0.088 0.012 0.017 0.046 0.084 0.144 0.279
p.MC3_2018.Flowering.Rice_herb   0.709 0.155 0.351 0.407 0.618 0.733 0.828 0.919
p.MC3_2018.Flowering.Tour_herb   0.182 0.134 0.015 0.024 0.080 0.154 0.253 0.441
p.MC3_2018.Ripening.Detritivore  0.118 0.096 0.010 0.016 0.048 0.092 0.157 0.306
p.MC3_2018.Ripening.Rice_herb    0.780 0.132 0.453 0.514 0.707 0.808 0.879 0.944
p.MC3_2018.Ripening.Tour_herb    0.102 0.087 0.008 0.012 0.039 0.079 0.139 0.277
p.MC3_2019.Tillering.Detritivore 0.257 0.107 0.072 0.092 0.181 0.251 0.322 0.439
p.MC3_2019.Tillering.Rice_herb   0.302 0.105 0.114 0.136 0.229 0.297 0.373 0.477
p.MC3_2019.Tillering.Tour_herb   0.441 0.122 0.204 0.244 0.360 0.437 0.524 0.644
