
#################################################################
# Summary Statistics
#################################################################

DIC = 4782.265

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.SO1_2018.Ripening.Rice_herb    0.510 0.410 0.001 0.002 0.034 0.588 0.954 0.995
p.SO1_2018.Ripening.Tour_herb    0.367 0.440 0.000 0.000 0.002 0.023 0.926 0.992
p.SO1_2019.Flowering.Detritivore 0.204 0.167 0.007 0.012 0.067 0.165 0.297 0.530
p.SO1_2019.Flowering.Rice_herb   0.482 0.328 0.003 0.008 0.127 0.546 0.773 0.939
p.SO1_2019.Flowering.Tour_herb   0.315 0.358 0.000 0.001 0.008 0.074 0.680 0.936
p.SO1_2019.Ripening.Detritivore  0.099 0.114 0.002 0.003 0.019 0.056 0.140 0.328
p.SO1_2019.Ripening.Rice_herb    0.544 0.395 0.001 0.003 0.070 0.732 0.915 0.984
p.SO1_2019.Ripening.Tour_herb    0.357 0.420 0.000 0.000 0.003 0.034 0.861 0.981
                                 97.5%
Epsilon.1                        1.405
Epsilon.2                        1.289
p.GC_2017.Flowering.Detritivore  0.377
p.GC_2017.Flowering.Rice_herb    0.912
p.GC_2017.Flowering.Tour_herb    0.935
p.GC_2017.Ripening.Detritivore   0.214
p.GC_2017.Ripening.Rice_herb     0.978
p.GC_2017.Ripening.Tour_herb     0.984
p.GO_2017.Ripening.Detritivore   0.330
p.GO_2017.Ripening.Rice_herb     0.992
p.GO_2017.Ripening.Tour_herb     0.992
p.LC1_2018.Tillering.Detritivore 0.776
p.LC1_2018.Tillering.Rice_herb   0.944
p.LC1_2018.Tillering.Tour_herb   0.976
p.LC1_2018.Ripening.Detritivore  0.221
p.LC1_2018.Ripening.Rice_herb    0.994
p.LC1_2018.Ripening.Tour_herb    0.992
p.LC1_2019.Tillering.Detritivore 0.701
p.LC1_2019.Tillering.Rice_herb   0.951
p.LC1_2019.Tillering.Tour_herb   0.982
p.LC1_2019.Flowering.Detritivore 0.405
p.LC1_2019.Flowering.Rice_herb   0.981
p.LC1_2019.Flowering.Tour_herb   0.976
p.LC1_2019.Ripening.Detritivore  0.192
p.LC1_2019.Ripening.Rice_herb    0.994
p.LC1_2019.Ripening.Tour_herb    0.993
p.LC2_2018.Ripening.Detritivore  0.439
p.LC2_2018.Ripening.Rice_herb    0.993
p.LC2_2018.Ripening.Tour_herb    0.992
p.LC2_2019.Tillering.Detritivore 0.906
p.LC2_2019.Tillering.Rice_herb   0.887
p.LC2_2019.Tillering.Tour_herb   0.977
p.LC2_2019.Flowering.Detritivore 0.716
p.LC2_2019.Flowering.Rice_herb   0.945
p.LC2_2019.Flowering.Tour_herb   0.965
p.LC3_2018.Tillering.Detritivore 0.702
p.LC3_2018.Tillering.Rice_herb   0.927
p.LC3_2018.Tillering.Tour_herb   0.977
p.LC3_2018.Flowering.Detritivore 0.424
p.LC3_2018.Flowering.Rice_herb   0.971
p.LC3_2018.Flowering.Tour_herb   0.964
p.LC3_2018.Ripening.Detritivore  0.205
p.LC3_2018.Ripening.Rice_herb    0.992
p.LC3_2018.Ripening.Tour_herb    0.990
