
#################################################################
# Summary Statistics
#################################################################

DIC = 4904.751

                                  Mean    SD  2.5%    5%   25%   50%   75%    95%
p.MO2_2019.Tillering.Predator    0.254 0.193 0.008 0.019 0.119 0.214 0.343  0.619
p.MO2_2019.Tillering.Rice_herb   0.562 0.309 0.007 0.015 0.314 0.660 0.807  0.943
p.MO2_2019.Tillering.Tour_herb   0.133 0.224 0.000 0.000 0.004 0.016 0.119  0.659
p.MO2_2019.Flowering.Detritivore 0.036 0.062 0.000 0.001 0.005 0.015 0.039  0.140
p.MO2_2019.Flowering.Predator    0.495 0.241 0.016 0.036 0.339 0.521 0.664  0.877
p.MO2_2019.Flowering.Rice_herb   0.395 0.269 0.007 0.016 0.185 0.371 0.561  0.926
p.MO2_2019.Flowering.Tour_herb   0.074 0.119 0.000 0.001 0.005 0.021 0.086  0.334
p.MO3_2018.Tillering.Detritivore 0.065 0.108 0.000 0.001 0.006 0.022 0.073  0.278
p.MO3_2018.Tillering.Predator    0.571 0.268 0.024 0.065 0.379 0.606 0.798  0.932
p.MO3_2018.Tillering.Rice_herb   0.288 0.251 0.006 0.014 0.083 0.212 0.439  0.823
p.MO3_2018.Tillering.Tour_herb   0.076 0.125 0.000 0.000 0.004 0.022 0.087  0.354
p.MO3_2018.Flowering.Detritivore 0.036 0.061 0.000 0.001 0.004 0.013 0.042  0.141
p.MO3_2018.Flowering.Predator    0.751 0.245 0.045 0.144 0.670 0.837 0.925  0.981
p.MO3_2018.Flowering.Rice_herb   0.174 0.219 0.003 0.006 0.033 0.086 0.218  0.724
p.MO3_2018.Flowering.Tour_herb   0.040 0.066 0.000 0.000 0.004 0.014 0.047  0.168
p.MO3_2019.Tillering.Detritivore 0.062 0.101 0.000 0.000 0.005 0.021 0.072  0.266
p.MO3_2019.Tillering.Predator    0.621 0.259 0.022 0.076 0.457 0.683 0.832  0.939
p.MO3_2019.Tillering.Rice_herb   0.251 0.235 0.005 0.011 0.072 0.176 0.356  0.767
p.MO3_2019.Tillering.Tour_herb   0.066 0.108 0.000 0.000 0.004 0.020 0.077  0.291
p.MO3_2019.Flowering.Detritivore 0.031 0.050 0.000 0.000 0.004 0.012 0.035  0.128
p.MO3_2019.Flowering.Predator    0.783 0.239 0.055 0.154 0.738 0.871 0.941  0.981
p.MO3_2019.Flowering.Rice_herb   0.151 0.212 0.003 0.005 0.025 0.065 0.165  0.702
p.MO3_2019.Flowering.Tour_herb   0.035 0.058 0.000 0.000 0.004 0.013 0.042  0.156
p.MO3_2019.Ripening.Detritivore  0.010 0.020 0.000 0.000 0.001 0.003 0.010  0.043
p.MO3_2019.Ripening.Predator     0.835 0.288 0.011 0.032 0.880 0.959 0.984  0.996
p.MO3_2019.Ripening.Rice_herb    0.142 0.279 0.000 0.001 0.007 0.023 0.083  0.922
p.MO3_2019.Ripening.Tour_herb    0.012 0.031 0.000 0.000 0.001 0.003 0.011  0.049
p.OC_2017.Flowering.Detritivore  0.028 0.045 0.000 0.001 0.003 0.012 0.034  0.111
p.OC_2017.Flowering.Predator     0.772 0.247 0.037 0.098 0.724 0.860 0.936  0.982
p.OC_2017.Flowering.Rice_herb    0.168 0.229 0.003 0.005 0.027 0.078 0.188  0.774
p.OC_2017.Flowering.Tour_herb    0.031 0.052 0.000 0.000 0.003 0.012 0.037  0.134
p.OC_2017.Ripening.Detritivore   0.010 0.021 0.000 0.000 0.001 0.003 0.010  0.040
p.OC_2017.Ripening.Predator      0.830 0.287 0.006 0.020 0.859 0.954 0.984  0.996
p.OC_2017.Ripening.Rice_herb     0.150 0.281 0.001 0.001 0.007 0.027 0.108  0.947
p.OC_2017.Ripening.Tour_herb     0.010 0.022 0.000 0.000 0.001 0.003 0.010  0.045
p.OO_2017.Ripening.Detritivore   0.013 0.026 0.000 0.000 0.001 0.003 0.012  0.055
p.OO_2017.Ripening.Predator      0.810 0.289 0.005 0.020 0.814 0.936 0.980  0.996
p.OO_2017.Ripening.Rice_herb     0.165 0.283 0.001 0.001 0.009 0.037 0.145  0.950
p.OO_2017.Ripening.Tour_herb     0.012 0.024 0.000 0.000 0.001 0.003 0.011  0.054
p.SC1_2018.Tillering.Detritivore 0.059 0.090 0.000 0.000 0.005 0.022 0.073  0.244
p.SC1_2018.Tillering.Predator    0.640 0.241 0.028 0.125 0.504 0.687 0.829  0.941
p.SC1_2018.Tillering.Rice_herb   0.245 0.221 0.006 0.013 0.073 0.183 0.346  0.720
p.SC1_2018.Tillering.Tour_herb   0.056 0.089 0.000 0.000 0.004 0.018 0.068  0.245
p.SC1_2018.Flowering.Detritivore 0.029 0.047 0.000 0.001 0.004 0.011 0.034  0.115
p.SC1_2018.Flowering.Predator    0.805 0.217 0.061 0.241 0.764 0.879 0.941  0.981
p.SC1_2018.Flowering.Rice_herb   0.138 0.190 0.003 0.006 0.027 0.068 0.157  0.619
p.SC1_2018.Flowering.Tour_herb   0.028 0.046 0.000 0.000 0.003 0.012 0.033  0.110
p.SC1_2018.Ripening.Detritivore  0.010 0.022 0.000 0.000 0.001 0.003 0.010  0.047
p.SC1_2018.Ripening.Predator     0.848 0.268 0.014 0.050 0.882 0.959 0.985  0.996
p.SC1_2018.Ripening.Rice_herb    0.132 0.258 0.000 0.001 0.007 0.024 0.089  0.892
p.SC1_2018.Ripening.Tour_herb    0.010 0.024 0.000 0.000 0.001 0.003 0.009  0.040
p.SC1_2019.Flowering.Detritivore 0.034 0.056 0.000 0.001 0.004 0.013 0.037  0.141
p.SC1_2019.Flowering.Predator    0.700 0.283 0.023 0.063 0.568 0.803 0.920  0.982
p.SC1_2019.Flowering.Rice_herb   0.228 0.269 0.003 0.006 0.037 0.112 0.303  0.876
p.SC1_2019.Flowering.Tour_herb   0.038 0.071 0.000 0.000 0.003 0.013 0.040  0.162
