
#################################################################
# Summary Statistics
#################################################################

DIC = 5560.759

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MC2_2019.Tillering.Predator    0.140 0.102 0.013 0.020 0.059 0.116 0.199 0.340
p.MC2_2019.Tillering.Rice_herb   0.288 0.129 0.085 0.109 0.191 0.273 0.363 0.523
p.MC2_2019.Tillering.Tour_herb   0.049 0.054 0.002 0.003 0.014 0.031 0.066 0.153
p.MC2_2019.Flowering.Detritivore 0.034 0.025 0.006 0.007 0.017 0.028 0.044 0.085
p.MC2_2019.Flowering.Predator    0.041 0.036 0.003 0.004 0.014 0.030 0.056 0.113
p.MC2_2019.Flowering.Rice_herb   0.888 0.076 0.743 0.778 0.860 0.901 0.934 0.965
p.MC2_2019.Flowering.Tour_herb   0.037 0.057 0.003 0.004 0.011 0.024 0.045 0.099
p.MC3_2018.Tillering.Detritivore 0.360 0.190 0.077 0.100 0.209 0.333 0.480 0.723
p.MC3_2018.Tillering.Predator    0.431 0.226 0.038 0.062 0.252 0.429 0.612 0.790
p.MC3_2018.Tillering.Rice_herb   0.104 0.092 0.009 0.014 0.039 0.076 0.136 0.292
p.MC3_2018.Tillering.Tour_herb   0.105 0.100 0.003 0.005 0.027 0.074 0.157 0.305
p.MC3_2018.Flowering.Detritivore 0.051 0.056 0.004 0.006 0.017 0.033 0.062 0.157
p.MC3_2018.Flowering.Predator    0.273 0.198 0.011 0.022 0.106 0.236 0.408 0.645
p.MC3_2018.Flowering.Rice_herb   0.536 0.207 0.150 0.194 0.381 0.537 0.698 0.870
p.MC3_2018.Flowering.Tour_herb   0.140 0.119 0.007 0.011 0.047 0.108 0.200 0.390
p.MC3_2018.Ripening.Detritivore  0.019 0.032 0.001 0.001 0.004 0.009 0.021 0.069
p.MC3_2018.Ripening.Predator     0.134 0.140 0.002 0.004 0.029 0.086 0.198 0.421
p.MC3_2018.Ripening.Rice_herb    0.758 0.167 0.355 0.428 0.655 0.796 0.889 0.963
p.MC3_2018.Ripening.Tour_herb    0.089 0.088 0.004 0.007 0.025 0.060 0.122 0.274
p.MC3_2019.Tillering.Detritivore 0.263 0.157 0.052 0.070 0.148 0.232 0.342 0.575
p.MC3_2019.Tillering.Predator    0.312 0.170 0.039 0.059 0.181 0.300 0.429 0.608
p.MC3_2019.Tillering.Rice_herb   0.180 0.107 0.035 0.048 0.099 0.161 0.240 0.383
p.MC3_2019.Tillering.Tour_herb   0.244 0.127 0.007 0.017 0.159 0.253 0.332 0.448
p.MC3_2019.Flowering.Detritivore 0.022 0.025 0.002 0.003 0.007 0.014 0.027 0.068
p.MC3_2019.Flowering.Predator    0.115 0.089 0.009 0.014 0.047 0.094 0.161 0.288
p.MC3_2019.Flowering.Rice_herb   0.640 0.159 0.297 0.360 0.531 0.649 0.762 0.872
p.MC3_2019.Flowering.Tour_herb   0.224 0.137 0.015 0.032 0.117 0.200 0.316 0.476
p.MC3_2019.Ripening.Detritivore  0.007 0.010 0.000 0.000 0.001 0.003 0.008 0.024
p.MC3_2019.Ripening.Predator     0.046 0.047 0.002 0.003 0.013 0.030 0.066 0.140
p.MC3_2019.Ripening.Rice_herb    0.828 0.103 0.586 0.637 0.775 0.846 0.901 0.957
p.MC3_2019.Ripening.Tour_herb    0.119 0.088 0.008 0.015 0.057 0.100 0.161 0.281
p.MO_2017.Tillering.Detritivore  0.465 0.164 0.177 0.225 0.349 0.447 0.572 0.770
p.MO_2017.Tillering.Predator     0.255 0.156 0.021 0.034 0.126 0.238 0.370 0.533
p.MO_2017.Tillering.Rice_herb    0.182 0.128 0.026 0.035 0.084 0.150 0.250 0.438
p.MO_2017.Tillering.Tour_herb    0.098 0.098 0.003 0.006 0.028 0.066 0.137 0.299
p.MO_2017.Flowering.Detritivore  0.050 0.050 0.005 0.007 0.019 0.035 0.063 0.149
p.MO_2017.Flowering.Predator     0.115 0.095 0.006 0.009 0.040 0.088 0.170 0.298
p.MO_2017.Flowering.Rice_herb    0.718 0.167 0.332 0.404 0.611 0.746 0.851 0.940
p.MO_2017.Flowering.Tour_herb    0.117 0.125 0.005 0.008 0.029 0.071 0.159 0.393
p.MO_2017.Ripening.Detritivore   0.016 0.022 0.000 0.001 0.003 0.008 0.019 0.054
p.MO_2017.Ripening.Predator      0.047 0.055 0.001 0.002 0.009 0.027 0.063 0.161
p.MO_2017.Ripening.Rice_herb     0.876 0.105 0.605 0.669 0.828 0.907 0.953 0.985
p.MO_2017.Ripening.Tour_herb     0.062 0.077 0.002 0.003 0.013 0.033 0.081 0.218
p.MO1_2018.Tillering.Detritivore 0.643 0.275 0.112 0.153 0.407 0.722 0.895 0.964
p.MO1_2018.Tillering.Predator    0.173 0.173 0.006 0.011 0.044 0.107 0.253 0.553
p.MO1_2018.Tillering.Rice_herb   0.121 0.143 0.004 0.005 0.016 0.059 0.178 0.420
p.MO1_2018.Tillering.Tour_herb   0.063 0.093 0.001 0.002 0.010 0.025 0.075 0.260
p.MO1_2018.Flowering.Detritivore 0.206 0.204 0.003 0.005 0.024 0.110 0.381 0.573
p.MO1_2018.Flowering.Predator    0.113 0.094 0.006 0.009 0.039 0.086 0.165 0.298
p.MO1_2018.Flowering.Rice_herb   0.582 0.243 0.161 0.193 0.368 0.598 0.800 0.931
p.MO1_2018.Flowering.Tour_herb   0.100 0.108 0.005 0.007 0.027 0.064 0.131 0.323
p.MO1_2018.Ripening.Detritivore  0.074 0.102 0.001 0.001 0.006 0.030 0.103 0.285
p.MO1_2018.Ripening.Predator     0.056 0.068 0.001 0.002 0.011 0.031 0.076 0.200
p.MO1_2018.Ripening.Rice_herb    0.805 0.157 0.420 0.503 0.717 0.845 0.931 0.981
p.MO1_2018.Ripening.Tour_herb    0.065 0.080 0.002 0.003 0.014 0.037 0.082 0.225
p.MO1_2019.Tillering.Detritivore 0.471 0.157 0.216 0.248 0.358 0.452 0.564 0.778
p.MO1_2019.Tillering.Predator    0.373 0.175 0.041 0.071 0.243 0.387 0.507 0.640
p.MO1_2019.Tillering.Rice_herb   0.092 0.082 0.011 0.015 0.036 0.065 0.121 0.261
p.MO1_2019.Tillering.Tour_herb   0.064 0.069 0.002 0.004 0.016 0.041 0.088 0.206
p.MO1_2019.Flowering.Detritivore 0.078 0.073 0.010 0.014 0.032 0.057 0.097 0.211
p.MO1_2019.Flowering.Predator    0.275 0.186 0.013 0.024 0.119 0.252 0.409 0.609
p.MO1_2019.Flowering.Rice_herb   0.551 0.188 0.210 0.248 0.409 0.540 0.693 0.867
p.MO1_2019.Flowering.Tour_herb   0.096 0.085 0.006 0.010 0.034 0.072 0.132 0.270
p.MO1_2019.Ripening.Detritivore  0.034 0.054 0.001 0.002 0.006 0.014 0.035 0.144
p.MO1_2019.Ripening.Predator     0.125 0.110 0.003 0.005 0.033 0.094 0.195 0.342
p.MO1_2019.Ripening.Rice_herb    0.784 0.134 0.488 0.541 0.694 0.804 0.893 0.963
p.MO1_2019.Ripening.Tour_herb    0.057 0.053 0.003 0.006 0.019 0.040 0.075 0.167
p.MO2_2018.Tillering.Detritivore 0.650 0.278 0.100 0.139 0.395 0.769 0.877 0.949
p.MO2_2018.Tillering.Predator    0.095 0.078 0.008 0.012 0.036 0.072 0.132 0.248
p.MO2_2018.Tillering.Rice_herb   0.096 0.115 0.007 0.010 0.029 0.058 0.117 0.308
