
#################################################################
# Summary Statistics
#################################################################

DIC = 4922.612

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MO3_2019.Tillering.Predator    0.019 0.029 0.000 0.000 0.003 0.009 0.022 0.070
p.MO3_2019.Tillering.Rice_herb   0.006 0.005 0.001 0.001 0.003 0.005 0.008 0.016
p.MO3_2019.Tillering.Tour_herb   0.489 0.161 0.241 0.271 0.376 0.464 0.571 0.823
p.MO3_2019.Flowering.Detritivore 0.106 0.054 0.016 0.029 0.068 0.100 0.138 0.205
p.MO3_2019.Flowering.Predator    0.015 0.018 0.000 0.001 0.003 0.008 0.019 0.050
p.MO3_2019.Flowering.Rice_herb   0.042 0.026 0.009 0.012 0.023 0.036 0.053 0.091
p.MO3_2019.Flowering.Tour_herb   0.837 0.063 0.698 0.724 0.798 0.842 0.882 0.931
p.MO3_2019.Ripening.Detritivore  0.144 0.093 0.011 0.018 0.068 0.130 0.208 0.313
p.MO3_2019.Ripening.Predator     0.015 0.020 0.000 0.000 0.003 0.008 0.019 0.056
p.MO3_2019.Ripening.Rice_herb    0.086 0.045 0.022 0.027 0.053 0.078 0.111 0.170
p.MO3_2019.Ripening.Tour_herb    0.755 0.096 0.555 0.590 0.691 0.760 0.828 0.900
p.OC_2017.Tillering.Detritivore  0.729 0.110 0.499 0.537 0.653 0.737 0.813 0.895
p.OC_2017.Tillering.Predator     0.050 0.064 0.000 0.001 0.008 0.025 0.066 0.188
p.OC_2017.Tillering.Rice_herb    0.166 0.083 0.042 0.053 0.101 0.154 0.218 0.324
p.OC_2017.Tillering.Tour_herb    0.054 0.042 0.006 0.009 0.024 0.044 0.072 0.135
p.OC_2017.Flowering.Detritivore  0.132 0.077 0.029 0.036 0.075 0.116 0.176 0.279
p.OC_2017.Flowering.Predator     0.037 0.056 0.001 0.001 0.006 0.016 0.046 0.142
p.OC_2017.Flowering.Rice_herb    0.759 0.110 0.519 0.564 0.691 0.773 0.841 0.911
p.OC_2017.Flowering.Tour_herb    0.072 0.056 0.010 0.014 0.033 0.057 0.095 0.175
p.OC_2017.Ripening.Detritivore   0.106 0.092 0.005 0.009 0.034 0.080 0.149 0.297
p.OC_2017.Ripening.Predator      0.026 0.052 0.000 0.000 0.002 0.007 0.025 0.119
p.OC_2017.Ripening.Rice_herb     0.833 0.115 0.554 0.606 0.771 0.858 0.922 0.968
p.OC_2017.Ripening.Tour_herb     0.036 0.035 0.004 0.006 0.013 0.026 0.046 0.099
p.OO_2017.Tillering.Detritivore  0.802 0.083 0.624 0.652 0.745 0.810 0.866 0.924
p.OO_2017.Tillering.Predator     0.037 0.046 0.000 0.001 0.006 0.020 0.051 0.134
p.OO_2017.Tillering.Rice_herb    0.096 0.052 0.023 0.029 0.057 0.087 0.125 0.194
p.OO_2017.Tillering.Tour_herb    0.065 0.047 0.006 0.011 0.029 0.054 0.089 0.158
